starter_rank,first_name,last_name,position,school,listed_height,listed_weight,projected_round,confidence_tier,archetype_hint,risk_note,source_keys,source_rank_notes,scouting_note,import_status
1,"Jeremiah","Smith","WR","Ohio State","6-3",223,"Round 1","blue_chip","X receiver / alpha separator","Very high expectations; WR at 1.01 depends on QB demand.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;SPORTING_VIA_CHARGERS_2026_04_25","PFF 1; PFSN 1; NBC 2; CBS 3; Sporting 1","Established elite production profile with rare size/speed/strength blend. Treat as the safest non-QB in the starter board.","manual_review"
2,"Arch","Manning","QB","Texas","6-4",219,"Round 1","blue_chip","toolsy franchise QB","Needs 2026 consistency; name value may inflate public board.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;FOX_KLATT_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFF 6; PFSN 7; NBC 1; CBS 1; Sporting 2","Prototype size and athleticism with enough late-2025 momentum to sit near the top, but his true grade should stay volatile until more starts are in.","manual_review"
3,"Dante","Moore","QB","Oregon","6-3",206,"Round 1","blue_chip","rhythm passer / vertical arm","Decision-making and interception variance remain the main check.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;FOX_KLATT_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFF 3; PFSN 3; NBC 4; CBS 2; Sporting 4","Natural thrower with big-time throw upside. Start as QB1/QB2 tier rather than a finished product.","manual_review"
4,"Colin","Simmons","EDGE","Texas","6-3",240,"Round 1","blue_chip","speed edge / bend rusher","Listed size is lighter than ideal edge prototype.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;FOX_KLATT_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFF 4; PFSN 6; NBC 9; CBS 4; Sporting 3","Explosive first-step rusher with high pressure production. Easy top defensive-player candidate.","manual_review"
5,"Leonard","Moore","CB","Notre Dame","6-2",195,"Round 1","blue_chip","press/man CB1","Could have quieter stats if offenses avoid him.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;SPORTING_VIA_CHARGERS_2026_04_25","PFF 5; PFSN 2; NBC 8; CBS 5; Sporting 5","Long, complete corner with ball production and shutdown profile. Build as an immediate high-impact outside CB.","manual_review"
6,"Dylan","Stewart","EDGE","South Carolina","6-5",245,"Round 1","high","explosive edge / traits rusher","Needs down-to-down consistency; back issue noted publicly.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;FOX_KLATT_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFF 7; PFSN 4; NBC 7; CBS 7; Sporting 9","Premium edge traits with top-10 upside. Slightly more volatile than Simmons.","manual_review"
7,"Cam","Coleman","WR","Texas","6-3",201,"Round 1","high","vertical / contested-catch WR","Transfer and QB context may reshape his stock.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26;FOX_KLATT_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFF 12; PFSN 5; NBC 5; CBS 6; Sporting 12","Former elite recruit with size and field-stretching traits. Give him high ceiling with uneven current polish.","manual_review"
8,"Julian","Sayin","QB","Ohio State","6-1",208,"Round 1","high","accurate pocket passer","Size and limited rushing could cap upside in NFL rooms.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;SPORTING_VIA_CHARGERS_2026_04_25","PFF 2; NBC 13; Sporting 11","Efficient passer with strong ball security profile. True grade should be high, athletic/scramble ratings modest.","manual_review"
9,"Trevor","Goosby","OT","Texas","6-7",312,"Round 1","high","long pass-protecting OT","Still developing physically; one more year of proof needed.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;CBS_2026_04_26","PFF 10; PFSN 10; NBC 6; CBS 10","Long-framed Texas tackle with pass-protection tools and upward trajectory.","manual_review"
10,"Jordan","Seaton","OT","LSU","6-5",330,"Round 1","high","power OT / traits tackle","Injury history and SEC transition need monitoring.","PFF_2026_04_28;PFSN_2027_BIG_BOARD;NBC_2026_04_27;FOX_KLATT_2026_04_28;SPORTING_VIA_CHARGERS_2026_04_25","PFF 18; PFSN 8; NBC 16; Sporting 6","Massive tackle with high pedigree. Better pass-protection starter than run-game certainty for now.","manual_review"
